metric,region,HC_mean,HC_sd,MildPD_mean,MildPD_sd,ModPD_mean,ModPD_sd,SevPD_mean,SevPD_sd,p_value,HC_vs_MildPD,HC_vs_ModPD,HC_vs_SevPD,MildPD_vs_ModPD,MildPD_vs_SevPD,ModPD_vs_SevPD
cortical_thickness,superiorfrontal,2.61,0.13,2.56,0.13,2.54,0.15,2.47,0.24,0.019,0.247,0.050,0.015,0.426,0.104,0.426
cortical_thickness,frontalpole,2.58,0.22,2.59,0.24,2.63,0.29,2.54,0.32,1.00,,,,,,
cortical_thickness,rostralmiddlefrontal,2.27,0.12,2.22,0.13,2.21,0.15,2.22,0.19,1.00,,,,,,
cortical_thickness,caudalmiddlefrontal,2.45,0.14,2.41,0.11,2.36,0.18,2.32,0.27,0.036,0.137,0.044,0.021,0.328,0.140,0.328
cortical_thickness,medialorbitofrontal,2.26,0.13,2.18,0.14,2.19,0.15,2.16,0.23,0.10,,,,,,
cortical_thickness,lateralorbitofrontal,2.50,0.13,2.37,0.19,2.42,0.16,2.41,0.24,0.051,0.005,0.028,0.068,0.132,0.715,0.132
cortical_thickness,precentral,2.45,0.18,2.42,0.17,2.39,0.23,2.22,0.34,0.012,0.256,0.453,0.015,0.755,0.054,0.755
cortical_thickness,paracentral,2.36,0.11,2.36,0.16,2.29,0.21,2.10,0.35,0.001,0.713,0.401,0.015,0.253,0.020,0.253
cortical_thickness,parahippocampal,2.65,0.24,2.59,0.25,2.58,0.24,2.56,0.42,1.00,,,,,,
cortical_thickness,entorhinal,3.25,0.35,2.97,0.46,3.09,0.47,2.96,0.55,0.05,,,,,,
cortical_thickness,fusiform,2.65,0.13,2.64,0.14,2.58,0.18,2.43,0.29,0.001,0.924,0.112,0.003,0.149,0.002,0.064
cortical_thickness,temporalpole,3.50,0.34,3.26,0.66,3.34,0.45,3.13,0.70,0.10,,,,,,
cortical_thickness,transversetemporal,2.32,0.19,2.38,0.24,2.27,0.29,2.09,0.39,0.001,0.218,0.737,0.013,0.115,0.001,0.058
cortical_thickness,supratemporal,2.72,0.15,2.77,0.17,2.70,0.17,2.60,0.31,0.019,0.184,0.719,0.075,0.114,0.018,0.128
cortical_thickness,middletemporal,2.81,0.15,2.78,0.17,2.76,0.17,2.66,0.24,0.014,0.386,0.140,0.006,0.584,0.038,0.089
cortical_thickness,inferiortemporal,2.73,0.15,2.73,0.17,2.66,0.18,2.51,0.26,0.001,0.897,0.064,0.001,0.122,0.001,0.042
cortical_thickness,lingual,1.96,0.10,1.99,0.12,1.96,0.15,1.76,0.19,0.001,0.342,0.774,0.001,0.691,0.001,0.001
cortical_thickness,pericalcarine,1.57,0.15,1.61,0.13,1.59,0.19,1.41,0.18,0.001,0.172,0.459,0.002,0.694,0.001,0.001
cortical_thickness,cuneus,1.85,0.18,1.78,0.15,1.81,0.18,1.64,0.18,0.001,0.147,0.504,0.001,0.492,0.006,0.001
cortical_thickness,lateraloccipital,2.18,0.13,2.19,0.16,2.14,0.16,2.03,0.14,0.001,0.573,0.337,0.001,0.175,0.001,0.007
cortical_thickness,supramarginal,2.50,0.13,2.48,0.16,2.43,0.16,2.38,0.25,0.10,,,,,,
cortical_thickness,superiorparietal,2.15,0.13,2.13,0.15,2.09,0.20,1.98,0.21,0.027,0.910,0.317,0.002,0.386,0.004,0.067
cortical_thickness,inferiorparietal,2.41,0.10,2.37,0.15,2.33,0.15,2.24,0.23,0.004,0.234,0.032,0.002,0.243,0.026,0.298
cortical_thickness,precuneus,2.34,0.11,2.31,0.15,2.26,0.16,2.15,0.23,0.002,0.358,0.073,0.001,0.239,0.026,0.150
cortical_thickness,postcentral,2.04,0.14,2.02,0.12,1.97,0.17,1.85,0.25,0.012,0.497,0.169,0.009,0.401,0.026,0.126
cortical_thickness,rostralanteriorcingulate,2.70,0.17,2.70,0.21,2.71,0.20,2.64,0.32,0.10,,,,,,
cortical_thickness,caudalanteriorcingulate,2.49,0.20,2.45,0.22,2.46,0.26,2.55,0.31,1.00,,,,,,
cortical_thickness,posteriorcingulate,2.41,0.13,2.42,0.15,2.34,0.16,2.32,0.22,0.027,0.911,0.050,0.061,0.047,0.093,0.993
cortical_thickness,isthmuscingulate,2.38,0.19,2.36,0.20,2.32,0.17,2.20,0.25,0.007,0.66,0.146,0.016,0.316,0.036,0.048
subcortical_volume,Thalamus,4.62,0.47,4.80,0.49,4.47,0.43,4.42,0.47,0.007,0.324,0.256,0.140,0.012,0.008,0.628
subcortical_volume,Caudate,2.30,0.21,2.31,0.27,2.26,0.34,2.11,0.27,0.025,0.823,0.397,0.012,0.355,0.019,0.182
subcortical_volume,Putamen,3.28,0.35,3.30,0.38,3.11,0.39,3.08,0.33,0.038,0.713,0.117,0.042,0.065,0.042,0.715
subcortical_volume,Pallidum,0.91,0.26,0.95,0.17,0.94,0.13,0.94,0.15,1.00,,,,,,
subcortical_volume,Hippocampus,2.70,0.25,2.66,0.27,2.52,0.27,2.50,0.30,0.013,0.618,0.032,0.028,0.062,0.051,0.828
subcortical_volume,Accumbens-area,0.31,0.04,0.32,0.07,0.28,0.06,0.30,0.06,0.10,,,,,,
subcortical_volume,Amygdala,1.02,0.13,1.05,0.13,0.98,0.14,0.92,0.13,0.009,0.523,0.179,0.008,0.063,0.002,0.206
cortical_thickness,MeanThickness,2.41,0.10,2.39,0.10,2.35,0.11,2.26,0.19,0.001,0.535,0.095,0.001,0.302,0.001,0.013
subcortical_volume,TotalGrayVol,289.51,18.72,287.24,15.72,272.57,20.70,258.93,31.53,0.001,0.703,0.005,0.001,0.017,0.001,0.028
subcortical_volume,Lateral-Ventricle,6.68,2.66,7.30,4.24,8.02,2.99,8.25,4.61,0.10,,,,,,